"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","zipcode","yr_old","renovated_status"
"1",221.9,3,1,1180,5650,1,0,0,3,7,1180,0,98178,66,0
"2",538,3,2,2570,NA,2,0,0,3,7,2170,400,98125,70,1
"3",180,2,1,770,10000,1,0,0,3,6,770,0,98028,88,0
"4",604,4,3,1960,5000,1,0,0,5,7,1050,910,98136,56,0
"5",510,3,2,1680,8080,1,0,0,3,8,1680,0,98074,34,0
"6",1225,4,4,5420,101930,1,0,0,3,11,3890,1530,98053,20,0
"7",257.5,3,2,1715,6819,NA,0,0,3,7,1715,0,98003,26,0
"8",291.85,3,2,1060,NA,1,0,0,3,7,1060,0,98198,58,0
"9",229.5,3,1,1780,7470,1,0,0,3,7,1050,NA,98146,61,0
"10",323,3,2,1890,6560,NA,0,0,3,7,1890,0,98038,18,0
"11",468,2,1,1160,6000,1,0,0,4,7,860,300,98115,79,0
"12",310,3,1,1430,19901,NA,0,0,4,7,1430,0,98028,94,0
"13",400,3,NA,1370,9680,1,0,0,4,7,1370,0,98074,44,0
"14",530,5,2,1810,4850,2,0,0,3,7,1810,0,98107,121,0
"15",650,4,3,2950,5000,2,0,3,3,9,1980,970,98126,42,NA
"16",395,3,2,1890,14040,2,0,0,3,7,1890,0,98019,27,0
"17",189,2,1,1200,9850,1,0,0,4,7,1200,0,98002,100,NA
"18",230,3,1,NA,9774,1,0,0,4,7,1250,0,98003,52,0
"19",385,4,2,1620,4980,1,0,0,4,7,860,760,98133,74,0
"20",2000,3,3,NA,44867,1,0,4,3,9,2330,720,98040,53,0
"21",285,5,2,2270,6300,2,NA,0,3,8,2270,0,98092,26,0
"22",252.7,2,2,1070,9643,1,0,0,3,7,1070,0,98030,36,0
"23",329,3,2,2450,6500,2,0,0,4,8,2450,0,98030,36,0
"24",233,3,2,1710,4697,2,0,0,5,6,1710,0,98002,80,0
"25",937,3,2,2450,2691,2,0,0,3,8,1750,700,98119,106,0
"26",667,3,1,1400,1581,2,0,0,5,8,1400,0,98112,112,0
"27",438,3,2,1520,6380,1,0,0,3,7,790,730,98115,NA,0
"28",719,4,2,2570,7173,2,0,0,3,8,2570,0,98052,16,0
"29",580.5,3,2,2320,3980,2,0,0,3,8,2320,0,98027,18,0
"30",280,2,2,1190,1265,3,0,0,3,7,1190,0,98133,16,0
"31",687.5,4,2,2330,5000,2,0,0,4,7,1510,820,98117,92,0
"32",535,3,1,1090,3000,2,0,0,4,8,1090,0,98117,92,0
